tconst,title,titleType,startYear,runtimeMinutes,averageRating,numVotes
tt0099117,Buttman's Bend Over Babes 1,video,1990,114,7.2,26
tt0099121,Berkeley in the Sixties,movie,1990,117,7.5,671
tt0099125,Best Shots,movie,1990,78,5.0,9
tt0099127,Bethune: The Making of a Hero,movie,1990,168,6.4,338
tt0099128,Three Daughters,movie,1990,94,5.6,3383
tt0099130,Beyond the Ocean,movie,1990,96,6.6,13
tt0099134,Big Bad John,movie,1990,92,5.5,125
tt0099136,The Big Man: Crossing the Line,movie,1990,116,5.8,994
tt0099137,The Great Los Angeles Earthquake,tvMovie,1990,180,6.1,596
tt0099141,Bird on a Wire,movie,1990,110,6.0,39948
tt0099148,Blind Faith,tvMiniSeries,1990,190,7.3,293
tt0099149,Blind Vengeance,tvMovie,1990,100,6.3,72
tt0099151,Blood Games,movie,1990,90,5.3,817
tt0099153,Blood Salvage,movie,1990,98,5.0,452
tt0099156,Necessity,tvMovie,1990,92,6.9,35
tt0099157,Blue Bayou,tvMovie,1990,120,6.7,40
tt0099158,Blue Planet,short,1990,42,7.2,736
tt0099160,Blue Steel,movie,1990,102,5.8,12480
tt0099164,Body Chemistry,movie,1990,84,4.3,388
tt0099165,The Bonfire of the Vanities,movie,1990,125,5.6,21629
tt0099166,Book of Love,movie,1990,82,6.3,1035
tt0099167,Boom Boom,movie,1990,90,6.2,202
tt0099171,Box-Office Bunny,short,1990,5,6.7,330
tt0099173,Paranoia,movie,1990,85,6.0,3883
tt0099179,The Bride in Black,tvMovie,1990,96,5.9,96
tt0099180,Bride of Re-Animator,movie,1990,96,6.3,13852
tt0099181,Bronstein's Children,movie,1991,90,6.9,16
tt0099182,Bronx Cheers,short,1991,30,6.8,33
tt0099183,The Bronx War,movie,1991,91,5.7,84
tt0099188,Buried Alive,tvMovie,1990,93,6.5,3812
tt0099190,Burning Bridges,tvMovie,1990,95,5.9,56
tt0099192,Bush Pilots,movie,1992,87,5.5,33
tt0099194,Buster's Bedroom,movie,1991,104,5.5,119
tt0099196,Buttman Goes to Rio,video,1990,90,6.0,33
tt0099197,By Dawn's Early Light,tvMovie,1990,100,7.1,2708
tt0099200,C'est la vie,movie,1990,110,6.2,603
tt0099201,That's the End,short,1990,2,5.7,9
tt0099204,Cadillac Man,movie,1990,97,5.7,13314
tt0099209,Call Me Anna,tvMovie,1990,97,6.6,133
tt0099210,El Niki,movie,1990,100,6.2,157
tt0099212,Lights Out,tvMovie,1990,93,5.9,947
tt0099215,Reach for the Sky,movie,1990,92,7.0,168
tt0099216,Campus Stalker,short,1990,3,5.5,17
tt0099217,Pilot,tvEpisode,1990,95,7.2,18
tt0099223,Carnal Crimes,video,1991,94,4.3,219
tt0099225,Caroline?,tvMovie,1990,100,7.2,409
tt0099226,Letters from Alou,movie,1990,100,6.7,211
tt0099227,Cartel,movie,1990,106,4.5,135
tt0099230,Maximum Liability,tvMovie,1990,93,6.9,38
tt0099236,Common Bonds,movie,1991,109,6.4,266
tt0099237,Challenger,tvMovie,1990,160,5.8,327
tt0099245,Checkered Flag,tvMovie,1991,95,5.3,89
tt0099253,Child's Play 2,movie,1990,84,5.9,45099
tt0099254,Children of the Bride,tvMovie,1990,105,6.5,226
tt0099257,Chimps: So Like Us,short,1990,30,7.1,41
tt0099259,The China Lake Murders,tvMovie,1990,97,6.0,505
tt0099260,China O'Brien,movie,1990,86,5.2,1087
