filename,mark,x.field,x.type,y.aggregate,y.field,y.type,color.field,color.type,x.aggregate,size.field,size.type,size.aggregate,color.aggregate,shape.field,shape.type,column.field,column.type,row.field,row.type,label
stacked_bar_weather_normalized.vl.json,43,1,59,24,0,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
point_2d_array_normalized.vl.json,37,1,7,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_type_multi.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
trellis_bar.vl.json,43,1,59,16,1,33,1,88,71,0,41,13,98,0,6,0,77,1,34,0
bar_swap_custom.vl.json,43,1,47,7,1,9,0,81,67,0,41,13,98,0,6,0,77,0,82,0
tick_sort.vl.json,67,1,47,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_title_normalized.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
stacked_bar_1d.vl.json,43,1,47,7,0,28,1,88,32,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate.vl.json,43,1,47,7,1,96,0,81,32,0,41,13,98,0,6,0,77,0,82,0
bar_yearmonth_custom_format.vl.json,43,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_2d.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_translate_scatterplot_drag.vl.json,37,1,47,7,1,33,0,81,71,1,68,13,98,0,6,0,77,0,82,0
selection_interval_mark_style.vl.json,96,1,59,7,1,96,0,99,71,0,41,13,59,0,6,0,77,0,82,0
interactive_paintbrush_color.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_yearmonth_custom_format_normalized.vl.json,43,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_2d_array.vl.json,37,1,7,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate_format.vl.json,43,1,47,7,1,96,0,81,32,0,41,13,98,0,6,0,77,0,82,0
bar_argmax_normalized.vl.json,43,1,47,7,1,9,0,81,71,0,41,13,98,0,6,0,77,0,82,0
tick_dot.vl.json,67,1,47,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
embedded_csv_normalized.vl.json,37,0,32,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_interval.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_colorramp_size.vl.json,37,1,47,7,1,33,1,99,71,1,68,13,98,0,6,0,77,0,82,0
circle_binned.vl.json,37,1,47,7,1,33,0,81,71,0,68,91,98,0,6,0,77,0,82,0
bar_size_responsive.vl.json,43,1,7,24,0,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
time_parse_local_normalized.vl.json,37,0,32,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_composition_and_normalized.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate_size.vl.json,43,1,59,16,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
embedded_csv.vl.json,37,0,32,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_overlap_normalized.vl.json,37,0,32,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_outside_domain_normalized.vl.json,94,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
stacked_bar_v_normalized.vl.json,43,1,7,16,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
facet_custom.vl.json,43,1,59,16,1,33,1,88,71,0,41,13,98,0,6,1,75,0,82,0
bar_swap_axes_normalized.vl.json,43,1,47,7,1,9,0,81,67,0,41,13,98,0,6,0,77,0,82,0
sequence_line.vl.json,94,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
stacked_bar_1d_normalized.vl.json,43,1,47,7,0,28,1,88,32,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate_sort_mean.vl.json,43,1,47,7,1,96,0,81,32,0,41,13,98,0,6,0,77,0,82,0
bar_argmax.vl.json,43,1,47,7,1,9,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_month_band.vl.json,43,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
